estimator,base_model,stage,offloader_id,policy_id,scenario,scenario_type,seed_count,peak_map,peak_map_coco,peak_map_coco50,auc_0_5,auc_coco,auc_coco50,gain_over_weak_peak,gain_over_weak_auc_0_5,oracle_regret_peak,oracle_regret_auc_0_5,map_at_0p20,gain_over_weak_at_0p20,oracle_regret_at_0p20,map_at_0p40,gain_over_weak_at_0p40,oracle_regret_at_0p40,map_at_0p60,gain_over_weak_at_0p60,oracle_regret_at_0p60,map_at_0p80,gain_over_weak_at_0p80,oracle_regret_at_0p80,mean_ratio_error,max_ratio_error,strategy
random,random,other,random,random,,,1,0.790762275881051,0.6053377810548273,0.8220915430133806,0.7774478098527016,0.5728940213084415,0.8041830648373736,0.030816441194809197,0.017501975166459793,0.03650810377591962,0.03855066619920389,0.7694408794441686,0.00949504475792684,0.04542054616421165,0.7758265907435405,0.015880756057298773,0.05077187501246627,0.7805869247863971,0.020641090100155357,0.04665133268148236,0.785698025420391,0.02575219073414925,0.03791501582715606,,,random
oracle,oracle,other,oracle,oracle,,,1,0.8272703796569706,0.636522603828866,0.8674608013211158,0.8159984760519055,0.6179032848359552,0.8537523447887687,0.06732454497072882,0.05605264136566368,0.0,0.0,0.8148614256083803,0.05491559092213849,0.0,0.8265984657560068,0.06665263106976504,0.0,0.8272382574678795,0.06729242278163772,0.0,0.8236130412475471,0.06366720656130531,0.0,,,oracle
weak_model,weak_model,pre,constant,constant,,,1,0.7599458346862418,0.5403162489028,0.7846288409390335,0.7599458346862418,0.5403162489028,0.7846288409390336,0.0,0.0,0.06732454497072882,0.05605264136566368,0.7599458346862418,0.0,0.05491559092213849,0.7599458346862418,0.0,0.06665263106976504,0.7599458346862418,0.0,0.06729242278163772,0.7599458346862418,0.0,0.06366720656130531,,,constant
strong_model,strong_model,pre,constant,constant,,,1,0.790762275881051,0.6053377810548273,0.8220915430133806,0.7907622758810509,0.6053377810548273,0.8220915430133806,0.030816441194809197,0.030816441194809086,0.03650810377591962,0.025236200170854595,0.790762275881051,0.030816441194809197,0.024099149727329294,0.790762275881051,0.030816441194809197,0.03583618987495585,0.790762275881051,0.030816441194809197,0.03647598158682852,0.790762275881051,0.030816441194809197,0.032850765366496115,,,constant
