slice_name,slice_value,count,mean_true_gain,median_true_gain,beneficial_rate,harmful_rate,neutral_rate,edge_map_mean,cloud_map_mean,headroom_mean
video_name,val_chunk_0000,500,0.0354068806882726,0.0,0.246,0.136,0.618,0.8788020694170187,0.9142089501052912,0.0354068806882726
video_name,val_chunk_0001,500,0.03046894235397667,0.0,0.266,0.12,0.616,0.8617339482434966,0.8922028905974734,0.030468942353976673
video_name,val_chunk_0002,500,0.043224716756477446,0.0,0.256,0.14,0.604,0.8676405501338268,0.9108652668903041,0.043224716756477446
video_name,val_chunk_0005,500,0.04874219667714222,0.0,0.296,0.102,0.602,0.8353700348632858,0.8841122315404282,0.048742196677142226
video_name,val_chunk_0008,500,0.02268511705504083,0.0,0.206,0.146,0.648,0.8710555093846702,0.8937406264397112,0.022685117055040827
video_name,val_chunk_0009,500,0.03710871750872708,0.0,0.236,0.104,0.66,0.8671743865514246,0.9042831040601517,0.03710871750872708
video_name,val_chunk_0010,105,0.044804132198988406,0.0,0.2761904761904762,0.0761904761904762,0.6476190476190476,0.8434131669196604,0.8882172991186489,0.044804132198988406
frame_quartile,Q1,777,0.03825100952587604,0.0,0.2574002574002574,0.12097812097812098,0.6229086229086229,0.854699548947396,0.892950558473272,0.03825100952587604
frame_quartile,Q2,776,0.038365641887642875,0.0,0.2551546391752577,0.12242268041237113,0.6224226804123711,0.8627872482319082,0.9011528901195509,0.03836564188764288
frame_quartile,Q3,776,0.03134465855249317,0.0,0.23324742268041238,0.12628865979381443,0.6404639175257731,0.8682724151355359,0.8996170736880291,0.03134465855249317
frame_quartile,Q4,776,0.038281561672114627,0.0,0.2615979381443299,0.12242268041237113,0.615979381443299,0.8660345148429928,0.9043160765151076,0.03828156167211463
edge_det_count,Q2,706,0.041781794978421306,0.0,0.21671388101983002,0.09348441926345609,0.6898016997167139,0.8636238493243388,0.90540564430276,0.04178179497842131
edge_det_count,Q1,1112,0.02626022961594077,0.0,0.09172661870503597,0.0368705035971223,0.8723021582733813,0.9284453655856537,0.9547055952015944,0.02626022961594077
edge_det_count,Q3,604,0.04569379264369412,0.0,0.34271523178807944,0.15066225165562913,0.5066225165562914,0.8311124326837767,0.8768062253274709,0.04569379264369412
edge_det_count,Q4,683,0.03985995030194637,0.0,0.4685212298682284,0.26939970717423134,0.26207906295754024,0.783755546600578,0.8236154969025246,0.039859950301946376
edge_conf_mean,Q3,776,0.025364899674945176,0.0,0.24613402061855671,0.1211340206185567,0.6327319587628866,0.8948258612435114,0.9201907609184565,0.025364899674945183
edge_conf_mean,Q4,776,0.012671949392895974,0.0,0.06056701030927835,0.029639175257731958,0.9110824742268041,0.9606940239027869,0.9733659732956829,0.012671949392895974
edge_conf_mean,Q2,776,0.037191069201280194,0.0,0.3118556701030928,0.17268041237113402,0.5154639175257731,0.846550483517075,0.8837415527183551,0.0371910692012802
edge_conf_mean,Q1,777,0.07097278613111203,0.0,0.3886743886743887,0.16859716859716858,0.44272844272844275,0.749858462986677,0.8208312491177892,0.07097278613111203
entropy,Q1,3105,0.036561262286863835,0.0,0.2518518518518518,0.12302737520128824,0.6254428341384863,0.8629457751444206,0.8995070374312844,0.036561262286863835
img_complexity,Q1,3105,0.036561262286863835,0.0,0.2518518518518518,0.12302737520128824,0.6254428341384863,0.8629457751444206,0.8995070374312844,0.036561262286863835
