estimator,base_model,stage,status,r2,mae,rmse,spearman_rho,description,gflops,params,inference_time_ms,seed,offloader_id,policy_id,precision_at_31,precision_at_155,precision_at_310,precision_at_621,ndcg,peak_map,peak_map_coco,peak_map_coco50,detector_time_ms,mean_ratio_error,max_ratio_error,ratio_compatible
weak_model,weak_model,pre,PASS,-0.03733420106978902,0.08961151474288276,0.19272013838240962,0.0,Always Edge (Never Offload) [fasterrcnn_mobilenet_v3_large_fpn],4.49,19.39,0.0,42,default,native_threshold,0.03225806451612903,0.0967741935483871,0.11290322580645161,0.19162640901771336,0.9634166733943093,0.7599458346862418,0.5403162489028,0.7846288409390335,24.04928371310234,,,
strong_model,strong_model,pre,PASS,-25.92463842282073,0.9634387377131363,0.9818444516135982,0.0,Always Cloud (Always Offload) [fasterrcnn_resnet50_fpn_v2],280.37,43.71,0.0,42,default,native_threshold,0.03225806451612903,0.0967741935483871,0.11290322580645161,0.19162640901771336,0.9634166733943093,0.790762275881051,0.6053377810548273,0.8220915430133806,44.35989558696747,,,
