estimator,base_model,offloader_id,policy_id,ratio,scenario,scenario_type,seed_count,mAP,mAP_coco,mAP_coco50,stage,strategy
post|edgeml|MORIC-AP|wmse|native_threshold,edgeml,native_threshold,native_threshold,0.2,,,1,0.7651401229563435,0.5481164809143222,0.7909422652741194,post,native_threshold
post|edgeml|MORIC-AP|wmse|native_threshold,edgeml,native_threshold,native_threshold,0.3,,,1,0.7888677818215442,0.5946982250858772,0.8168923218976216,post,native_threshold
post|edgeml|MORIC-AP|wmse|native_threshold,edgeml,native_threshold,native_threshold,0.4,,,1,0.7933559449755789,0.6058210760249313,0.8242089168951113,post,native_threshold
post|edgeml|MORIC-AP|wmse|native_threshold,edgeml,native_threshold,native_threshold,0.5,,,1,0.7909843998886991,0.604233564892941,0.8225369034175102,post,native_threshold
post|edgeml|MORIC-AP|wmse|native_threshold,edgeml,native_threshold,native_threshold,0.6,,,1,0.790762275881051,0.6053377810548273,0.8220915430133806,post,native_threshold
post|edgeml|MORIC-AP|wmse|native_threshold,edgeml,native_threshold,native_threshold,0.7,,,1,0.790762275881051,0.6053377810548273,0.8220915430133806,post,native_threshold
post|edgeml|MORIC-AP|wmse|native_threshold,edgeml,native_threshold,native_threshold,0.8,,,1,0.790762275881051,0.6053377810548273,0.8220915430133806,post,native_threshold
post|edgeml|MORIC-AP|wmse|native_threshold,edgeml,native_threshold,native_threshold,0.9,,,1,0.790762275881051,0.6053377810548273,0.8220915430133806,post,native_threshold
post|edgeml|MORIC-AP|wmse|native_threshold,edgeml,native_threshold,native_threshold,1.0,,,1,0.790762275881051,0.6053377810548273,0.8220915430133806,post,native_threshold
post|xgboost|MORIC-AP|online_ecdf_calibrated,xgboost,online_ecdf_calibrated,online_ecdf_calibrated,0.0,,,1,0.7599458346862418,0.5403162489028,0.7846288409390335,post,online_ecdf_calibrated
post|xgboost|MORIC-AP|online_ecdf_calibrated,xgboost,online_ecdf_calibrated,online_ecdf_calibrated,0.1,,,1,0.7756816518923447,0.5547879306547661,0.8021678196572822,post,online_ecdf_calibrated
post|xgboost|MORIC-AP|online_ecdf_calibrated,xgboost,online_ecdf_calibrated,online_ecdf_calibrated,0.2,,,1,0.7857957359356723,0.5601503149794808,0.8127777181593687,post,online_ecdf_calibrated
post|xgboost|MORIC-AP|online_ecdf_calibrated,xgboost,online_ecdf_calibrated,online_ecdf_calibrated,0.3,,,1,0.7935484286710643,0.5690055917011583,0.821609912942024,post,online_ecdf_calibrated
post|xgboost|MORIC-AP|online_ecdf_calibrated,xgboost,online_ecdf_calibrated,online_ecdf_calibrated,0.4,,,1,0.7992330557159757,0.5816829751948338,0.8283432296435658,post,online_ecdf_calibrated
post|xgboost|MORIC-AP|online_ecdf_calibrated,xgboost,online_ecdf_calibrated,online_ecdf_calibrated,0.5,,,1,0.8028214180485345,0.593184830335641,0.8321372066226653,post,online_ecdf_calibrated
post|xgboost|MORIC-AP|online_ecdf_calibrated,xgboost,online_ecdf_calibrated,online_ecdf_calibrated,0.6,,,1,0.8039918426671634,0.5997246059484416,0.8347740088234736,post,online_ecdf_calibrated
post|xgboost|MORIC-AP|online_ecdf_calibrated,xgboost,online_ecdf_calibrated,online_ecdf_calibrated,0.7,,,1,0.8033428133191113,0.604161567776925,0.8345324472241124,post,online_ecdf_calibrated
post|xgboost|MORIC-AP|online_ecdf_calibrated,xgboost,online_ecdf_calibrated,online_ecdf_calibrated,0.8,,,1,0.8028758946511443,0.6070770725528678,0.8348950454254539,post,online_ecdf_calibrated
post|xgboost|MORIC-AP|online_ecdf_calibrated,xgboost,online_ecdf_calibrated,online_ecdf_calibrated,0.9,,,1,0.797919628605517,0.6049138171321358,0.8298731456909574,post,online_ecdf_calibrated
