estimator,base_model,stage,offloader_id,policy_id,scenario,scenario_type,seed_count,peak_map,peak_map_coco,peak_map_coco50,auc_0_5,auc_coco,auc_coco50,gain_over_weak_peak,gain_over_weak_auc_0_5,oracle_regret_peak,oracle_regret_auc_0_5,map_at_0p20,gain_over_weak_at_0p20,oracle_regret_at_0p20,map_at_0p40,gain_over_weak_at_0p40,oracle_regret_at_0p40,map_at_0p60,gain_over_weak_at_0p60,oracle_regret_at_0p60,map_at_0p80,gain_over_weak_at_0p80,oracle_regret_at_0p80,mean_ratio_error,max_ratio_error,strategy
pre|mobilenet_v2|MORIC+-AP|online_ecdf_calibrated,mobilenet_v2,pre,online_ecdf_calibrated,online_ecdf_calibrated,,,1,0.8010759494583412,0.6070851504142406,0.830903367939754,0.7895817817903364,0.5819211409923355,0.817885522452134,0.04113011477209938,0.029635947104094673,0.026194430198629437,0.026416694261569007,0.7778252912802589,0.01787945659401713,0.03703613432812136,0.7912949775571316,0.03134914287088986,0.03530348819887519,0.7996578584995382,0.039712023813296415,0.027580398968341302,0.8005355140516955,0.04058967936545377,0.023077527195851544,0.01812488817319734,0.02962962962962956,online_ecdf_calibrated
pre|mobilenet_v2|OffloadBin|focal|online_ecdf_calibrated,mobilenet_v2,pre,online_ecdf_calibrated,online_ecdf_calibrated,,,1,0.8075850535870316,0.6091412831997983,0.8376929658889857,0.7948598562181558,0.5880576759736609,0.8241676117446886,0.047639218900789815,0.03491402153191403,0.019685326069939002,0.02113861983374965,0.78480061077681,0.024854776090568187,0.030060814831570304,0.8063773119467278,0.04643147726048602,0.020221153809279024,0.8051074052540704,0.04516157056782866,0.02213085221380906,0.7992992344291846,0.03935339974294283,0.024313806818362482,0.008713544462336735,0.015458937198067652,online_ecdf_calibrated
post|edgeml|MORIC-AP|wmse|native_threshold,edgeml,post,native_threshold,native_threshold,,,1,0.7933559449755789,0.6058210760249313,0.8242089168951113,0.7836697243136257,0.5887363735018993,0.8130935612453125,0.03341011028933716,0.02372388962738392,0.03391443468139166,0.03232875173827976,0.7651401229563435,0.00519428827010171,0.04972130265203678,0.7933559449755789,0.03341011028933716,0.03324252078042789,0.790762275881051,0.030816441194809197,0.03647598158682852,0.790762275881051,0.030816441194809197,0.032850765366496115,0.2433530148505994,0.447181964573269,native_threshold
post|xgboost|MORIC-AP|online_ecdf_calibrated,xgboost,post,online_ecdf_calibrated,online_ecdf_calibrated,,,1,0.8039918426671634,0.6070770725528678,0.8348950454254539,0.7940564524790175,0.5847515721255063,0.823447072616511,0.04404600798092162,0.03411061779277569,0.023278536989807197,0.021942023572887992,0.7857957359356723,0.02584990124943054,0.02906568967270795,0.7992330557159757,0.03928722102973392,0.027365410040031124,0.8039918426671634,0.04404600798092162,0.023246414800716098,0.8028758946511443,0.04293005996490251,0.0207371465964028,0.016013598139201998,0.042028985507246375,online_ecdf_calibrated
post|dcsb|CountGain-05|fixed_classifier,dcsb,post,fixed_classifier,fixed_classifier,,,1,0.789011107890852,0.6037349439683839,0.8197215032784123,,,,,,,,,,,,,,,,,,,,,,fixed_classifier
random,random,other,random,random,,,1,0.790762275881051,0.6053377810548273,0.8220915430133806,0.7774478098527016,0.5728940213084415,0.8041830648373736,0.030816441194809197,0.017501975166459793,0.03650810377591962,0.03855066619920389,0.7694408794441686,0.00949504475792684,0.04542054616421165,0.7758265907435405,0.015880756057298773,0.05077187501246627,0.7805869247863971,0.020641090100155357,0.04665133268148236,0.785698025420391,0.02575219073414925,0.03791501582715606,,,random
oracle,oracle,other,oracle,oracle,,,1,0.8272703796569706,0.636522603828866,0.8674608013211158,0.8159984760519055,0.6179032848359552,0.8537523447887687,0.06732454497072882,0.05605264136566368,0.0,0.0,0.8148614256083803,0.05491559092213849,0.0,0.8265984657560068,0.06665263106976504,0.0,0.8272382574678795,0.06729242278163772,0.0,0.8236130412475471,0.06366720656130531,0.0,,,oracle
weak_model,weak_model,pre,constant,constant,,,1,0.7599458346862418,0.5403162489028,0.7846288409390335,0.7599458346862418,0.5403162489028,0.7846288409390336,0.0,0.0,0.06732454497072882,0.05605264136566368,0.7599458346862418,0.0,0.05491559092213849,0.7599458346862418,0.0,0.06665263106976504,0.7599458346862418,0.0,0.06729242278163772,0.7599458346862418,0.0,0.06366720656130531,,,constant
strong_model,strong_model,pre,constant,constant,,,1,0.790762275881051,0.6053377810548273,0.8220915430133806,0.7907622758810509,0.6053377810548273,0.8220915430133806,0.030816441194809197,0.030816441194809086,0.03650810377591962,0.025236200170854595,0.790762275881051,0.030816441194809197,0.024099149727329294,0.790762275881051,0.030816441194809197,0.03583618987495585,0.790762275881051,0.030816441194809197,0.03647598158682852,0.790762275881051,0.030816441194809197,0.032850765366496115,,,constant
