ratio,mAP
0.0,0.7599458346862418
0.1,0.7756816518923447
0.2,0.7857957359356723
0.3,0.7985731091962286
0.4,0.8063773119467278
0.5,0.8075850535870316
0.6,0.8051074052540704
0.7,0.8042845115464033
0.8,0.8028758946511443
0.9,0.797919628605517
1.0,0.790762275881051
