delta_ap,moric_plus,offload_bin
0.0,-0.6153598971722365,0
0.0,-0.6025064267352185,0
1.0,0.8379518072289157,1
0.5,0.8996987951807229,1
0.1666666666666666,0.17921686746987953,1
0.0,-0.007712082262210762,0
0.0,-0.36278920308483287,0
-0.8,-0.7840616966580977,0
0.25,0.5906626506024096,1
0.05,0.46054216867469877,1
0.0,0.025903614457831327,0
0.0194805194805195,0.23373493975903614,1
0.0,-0.11728791773778924,0
0.3775938715567198,0.9548192771084337,1
0.0,0.5858433734939759,0
0.0,-0.2066195372750642,0
0.0,-0.3849614395886889,0
0.0,-0.43862467866323906,0
0.0,-0.16388174807197942,0
0.0,-0.4739717223650386,0
-0.1666666666666667,-0.256426735218509,0
1.0,0.9487951807228916,1
0.0,-0.7805269922879178,0
0.0,-0.2792416452442159,0
0.5,0.6099397590361446,1
0.0,0.014156626506024096,0
0.05,0.8596385542168675,1
0.5,0.8186746987951807,1
0.0918367346938775,0.8533132530120482,1
-0.9166666666666666,-0.9103470437017995,0
0.1666666666666667,0.5671686746987952,1
0.0,0.5033132530120482,0
0.0,-0.1384961439588689,0
0.0,0.33343373493975903,0
0.0,0.536144578313253,0
0.1666666666666667,0.591566265060241,1
0.1666666666666667,0.7975903614457831,1
0.0943376068376069,0.7030120481927711,1
0.2071428571428571,0.05783132530120482,1
0.0,-0.875,0
0.0,-0.6677377892030849,0
0.0,0.15632530120481927,0
0.0995670995670995,0.9620481927710843,1
0.0,0.16415662650602408,0
0.0,-0.1873393316195373,0
0.0,-0.17994858611825193,0
-0.1666666666666666,0.20602409638554217,0
0.0,0.03463855421686747,0
0.1290476190476189,0.8343373493975904,1
0.0333333333333333,0.8057228915662651,1
0.5,0.7373493975903614,1
-0.5,-0.7133676092544987,0
0.0,-0.33965295629820047,0
0.0,-0.4119537275064268,0
0.0,0.21927710843373494,0
0.0,-0.2040488431876607,0
0.0,-0.008354755784061751,0
0.0,0.09608433734939759,0
0.0,-0.605719794344473,0
0.0,-0.22172236503856046,0
0.0,-0.3483290488431876,0
-0.1583333333333333,-0.8126606683804627,0
0.2249999999999999,0.821987951807229,1
0.0,-0.48811053984575836,0
0.1212121212121212,0.7858433734939759,1
0.0,-0.5751928020565553,0
0.0,-0.2300771208226221,0
0.0,-0.10796915167095111,0
0.0,-0.47911311053984573,0
0.359090909090909,0.9042168674698795,1
0.0,-0.6211439588688946,0
0.5,0.48765060240963853,1
0.1383366249725697,0.7581325301204819,1
0.0,-0.6095758354755785,0
0.0,-0.30719794344473006,0
0.0,0.4466867469879518,0
0.0,-0.7181876606683805,0
-0.0333333333333333,0.19759036144578312,0
-0.5,-0.8547557840616966,0
-0.5,-0.5465938303341902,0
0.0,-0.7104755784061696,0
-0.0441919191919191,-0.734254498714653,0
0.1666666666666667,-0.05655526992287918,1
0.0833333333333333,0.5737951807228916,1
0.0,-0.4174164524421594,0
0.0,-0.014781491002570646,0
0.0,-0.19248071979434445,0
0.0,0.2828313253012048,0
0.0,0.2563253012048193,0
0.0625,0.5259036144578313,1
0.0,-0.29048843187660667,0
0.1666666666666667,-0.6294987146529563,1
0.0,-0.0067480719794345,0
0.0,-0.44280205655526994,0
0.0,-0.2625321336760925,0
-0.0795918367346938,0.4243975903614458,0
0.0,0.7060240963855422,0
0.0,-0.6481362467866324,0
0.0,-0.3746786632390745,0
0.0,-0.10122107969151672,0
0.0,-0.13367609254498714,0
0.3,0.7048192771084337,1
-0.1989035087719298,-0.9546915167095116,0
0.0,-0.14267352185089976,0
-0.2622222222222223,-0.9887532133676092,0
-0.0333333333333333,-0.7808483290488432,0
0.0,0.3521084337349398,0
0.2444444444444444,0.8686746987951808,1
-0.009090909090909,-0.5825835475578407,0
0.0,-0.39620822622107965,0
0.0,0.026807228915662652,0
-0.1333333333333333,-0.8688946015424165,0
0.0,-0.43926735218508994,0
0.3006746031746031,0.7150602409638555,1
0.375,0.6391566265060241,1
0.0,-0.7789203084832905,0
0.5,0.7304216867469879,1
0.5476190476190476,0.9210843373493975,1
0.0,0.5319277108433735,0
0.0,-0.551413881748072,0
0.0,-0.2606041131105399,0
0.25,0.5105421686746988,1
0.1666666666666667,0.411144578313253,1
0.0,-0.5327763496143959,0
-0.0833333333333333,0.5018072289156627,0
0.0,-0.18573264781491006,0
0.0,-0.7663881748071979,0
0.5,0.8996987951807229,1
0.0,-0.8422236503856041,0
-0.3571428571428571,-0.8447943444730077,0
0.3333333333333333,0.6879518072289157,1
0.0,-0.2827763496143959,0
0.0,-0.03984575835475579,0
0.0,-0.5793701799485862,0
0.0,-0.4077763496143959,0
0.0333333333333333,0.525,1
0.0,0.49337349397590363,0
-0.2444444444444444,-0.6426735218508998,0
0.0,-0.10796915167095111,0
0.0,-0.7336118251928021,0
0.0,0.6292168674698795,0
0.2182539682539682,0.46656626506024096,1
0.0,0.0009036144578313253,0
0.0,-0.5395244215938304,0
0.0238095238095238,-0.4993573264781491,1
0.0,0.15753012048192772,0
0.0,-0.30430591259640105,0
0.25,0.9412650602409639,1
-0.0757575757575756,0.47771084337349395,0
0.0,0.19728915662650603,0
0.0,-0.38399742930591263,0
0.0,-0.5925449871465296,0
0.0,0.6572289156626506,0
-0.3571428571428572,-0.8756426735218509,0
0.0,-0.19537275064267356,0
0.0,-0.1940874035989717,0
0.0,0.08795180722891566,0
0.0,-0.2300771208226221,0
0.25,0.41596385542168673,1
0.0,0.591566265060241,0
0.0,-0.4408740359897172,0
0.0,-0.4672236503856041,0
-0.5,-0.9158097686375322,0
0.0,-0.3483290488431876,0
0.0,0.7954819277108434,0
0.0,-0.1086118251928021,0
-0.1666666666666666,-0.48521850899742935,0
0.0,-0.2689588688946015,0
0.0,-0.11535989717223649,0
0.0,0.4075301204819277,0
0.2833333333333334,0.7746987951807229,1
0.0178571428571427,-0.6468508997429305,1
0.2037037037037037,0.7786144578313253,1
-0.111111111111111,-0.5295629820051414,0
0.0,0.23283132530120482,0
0.0,0.44457831325301206,0
0.0,-0.8476863753213367,0
0.0,0.016867469879518072,0
0.4444444444444444,0.9072289156626506,1
0.0,0.17259036144578313,0
0.0,0.41807228915662653,0
-0.1666666666666667,-0.6854113110539846,0
-0.0833333333333333,-0.606362467866324,0
0.1666666666666666,0.17379518072289157,1
0.0,-0.10379177377892035,0
0.0,-0.5083547557840618,0
0.0,-0.30109254498714655,0
0.0,-0.04048843187660667,0
0.0,-0.4334832904884319,0
0.75,0.6701807228915663,1
0.0,-0.10379177377892035,0
0.2228571428571428,0.6870481927710843,1
0.0,0.13855421686746988,0
0.0,0.647289156626506,0
0.0,-0.5620179948586118,0
0.0,-0.027634961439588657,0
0.0,-0.4775064267352185,0
0.0238095238095238,-0.8762853470437018,1
0.0,-0.2432519280205655,0
0.0054945054945054,0.8385542168674699,1
0.0,-0.050771208226221054,0
0.0,0.3325301204819277,0
0.3333333333333332,0.6231927710843373,1
0.207142857142857,0.8975903614457831,1
0.4499999999999999,0.9903614457831326,1
0.0,-0.01799485861182515,0
0.0,0.20602409638554217,0
0.0833333333333333,0.5563253012048193,1
-0.1150425455303503,-0.9546915167095116,0
0.3166666666666666,0.808433734939759,1
0.0,-0.059125964010282805,0
0.0,0.48825301204819277,0
0.0,0.38042168674698795,0
0.0,-0.16709511568123392,0
0.0,0.4578313253012048,0
0.0,-0.14074550128534702,0
0.0,-0.6044344473007712,0
-0.0407547699214366,-0.8923521850899743,0
0.0,0.33795180722891566,0
0.0,0.725,0
0.0413702239789195,0.9129518072289157,1
0.0,0.21536144578313254,0
-0.0571428571428571,-0.8775706940874036,0
0.25,0.19759036144578312,1
0.1713815789473683,0.9406626506024096,1
0.0,-0.8419023136246786,0
0.0833333333333333,0.3484939759036145,1
0.0,-0.8049485861182519,0
0.0,-0.5861182519280206,0
0.0,0.40873493975903613,0
0.1333333333333333,0.03614457831325301,1
0.0,-0.5456298200514138,0
-0.0089285714285713,-0.778598971722365,0
0.0,0.38042168674698795,0
0.0,-0.33708226221079696,0
0.0,-0.609254498714653,0
0.0,-0.01510282776349614,0
-0.25,-0.8679305912596401,0
0.0,0.7680722891566265,0
0.0833333333333333,0.5656626506024096,1
0.0,-0.7924164524421594,0
0.3333333333333332,0.9840361445783132,1
0.0666666666666666,0.6102409638554217,1
0.0,0.6825301204819277,0
0.0,-0.5022493573264781,0
0.0,0.21144578313253012,0
-0.0476190476190476,-0.8161953727506427,0
-0.1333333333333333,-0.7789203084832905,0
0.1666666666666666,0.7340361445783132,1
0.0,0.5620481927710843,0
0.0,-0.6330334190231363,0
0.0,-0.8473650385604113,0
0.0833333333333333,0.7150602409638555,1
0.1666666666666667,0.8596385542168675,1
0.0,-0.6468508997429305,0
0.0,0.4743975903614458,0
0.0833333333333333,0.7460843373493976,1
0.0,0.0009036144578313253,0
0.0,-0.6690231362467867,0
0.0,0.19518072289156627,0
0.375,0.7783132530120482,1
-0.0124214651304433,0.40572289156626506,0
0.0,-0.68926735218509,0
0.0999999999999999,-0.721401028277635,1
0.0,0.8656626506024097,0
0.0,-0.4309125964010283,0
0.0,-0.10571979434447298,0
0.0,0.07951807228915662,0
0.0,-0.044023136246786665,0
0.0,-0.6352827763496144,0
0.0,-0.2365038560411311,0
0.0,-0.275706940874036,0
-0.3333333333333333,-0.9723650385604113,0
0.0,-0.7165809768637532,0
0.0,0.3337349397590361,0
0.0,-0.12724935732647813,0
0.0,-0.7798843187660669,0
0.2333333333333334,0.7460843373493976,1
0.0,-0.05848329048843193,0
0.0,-0.6735218508997429,0
1.0,0.8674698795180723,1
0.0,0.12289156626506025,0
0.0,-0.708547557840617,0
0.0,-0.07005141388174807,0
0.0,-0.41323907455012854,0
0.0,-0.7088688946015425,0
0.0,0.6445783132530121,0
0.0,-0.31683804627249357,0
0.0,-0.18348329048843193,0
-0.1666666666666667,-0.7972365038560412,0
0.0,-0.2792416452442159,0
0.0,0.017771084337349398,0
0.0,0.00030120481927710846,0
0.5,-0.8801413881748072,1
0.0,-0.2737789203084833,0
0.0,-0.5633033419023137,0
0.1999999999999999,0.7900602409638554,1
0.0,0.004518072289156626,0
0.0,0.1644578313253012,0
0.0,0.3463855421686747,0
-0.0499999999999999,-0.5739074550128535,0
0.0,-0.10122107969151672,0
0.0,-0.029884318766066786,0
0.0,0.00030120481927710846,0
0.1934240362811791,0.7234939759036144,1
0.0,-0.5147814910025708,0
0.0,0.33463855421686745,0
0.0,-0.06458868894601544,0
0.0,0.2457831325301205,0
0.0,-0.5700514138817481,0
0.0,-0.07744215938303345,0
-0.1071428571428572,-0.5462724935732648,0
0.0,0.6602409638554216,0
0.0,-0.4183804627249358,0
-0.0089285714285714,-0.8791773778920309,0
0.0,0.2358433734939759,0
0.0,0.009939759036144578,0
0.0,-0.5440231362467867,0
0.0,-0.4318766066838047,0
0.0,0.2322289156626506,0
0.0,-0.46272493573264784,0
0.0,0.3033132530120482,0
0.0,-0.3280848329048843,0
0.1666666666666667,0.6843373493975904,1
0.0,-0.7011568123393317,0
-0.05,-0.7811696658097687,0
-0.0833333333333333,-0.606362467866324,0
0.0,0.2756024096385542,0
0.0,-0.36053984575835474,0
0.0,-0.4344473007712082,0
0.4799231208768376,1.0,1
0.25,0.6135542168674699,1
-0.1666666666666666,-0.5739074550128535,0
0.0,0.09789156626506024,0
0.0,-0.17577120822622105,0
-0.0833333333333332,-0.8705012853470437,0
0.0,-0.714974293059126,0
-0.1262024547738833,-0.2268637532133676,0
0.0,-0.6333547557840618,0
0.1999999999999999,0.7400602409638555,1
0.0,-0.5877249357326478,0
0.0,-0.4376606683804627,0
0.0833333333333333,0.6695783132530121,1
0.0,-0.127892030848329,0
0.0,0.0006024096385542169,0
0.0,-0.18348329048843193,0
0.25,0.5653614457831325,1
0.0,0.29668674698795183,0
0.0,0.19939759036144578,0
0.0,-0.10571979434447298,0
0.0,0.536144578313253,0
0.0,-0.3717866323907455,0
0.0,-0.5154241645244215,0
0.0,0.017771084337349398,0
0.0,-0.5269922879177378,0
0.0,-0.02859897172236503,0
-0.0833333333333333,-0.544344473007712,0
0.0,-0.10700514138817485,0
0.0,0.411144578313253,0
0.1666666666666666,0.7454819277108434,1
0.0,-0.15006426735218514,0
0.0,0.32710843373493975,0
0.0,0.22590361445783133,0
0.0,-0.6638817480719794,0
0.0,-0.25353470437018,0
0.0,0.3102409638554217,0
0.0,0.006626506024096385,0
0.0,-0.30719794344473006,0
0.0,-0.3084832904884319,0
0.1388888888888889,0.7792168674698795,1
-0.0333333333333333,0.5807228915662651,0
0.0395983472855131,0.43373493975903615,1
0.0,-0.30751928020565555,0
0.0,0.22921686746987951,0
0.0,0.1614457831325301,0
0.0,-0.11150385604113111,0
0.0,-0.6134318766066837,0
0.0,-0.5392030848329049,0
-0.05,-0.7403598971722365,0
0.0,-0.8255141388174807,0
0.0,-0.5205655526992288,0
0.5,0.8930722891566265,1
0.0,-0.2773136246786633,0
0.0,0.014759036144578313,0
-0.3,-0.7818123393316195,0
0.0,-0.0035347043701799974,0
0.4166666666666666,-0.20308483290488433,1
0.0,-0.15584832904884316,0
0.0,0.4292168674698795,0
0.1904761904761903,0.7349397590361446,1
0.2083333333333332,0.7289156626506024,1
0.0,-0.7744215938303342,0
0.0,0.6201807228915662,0
0.0,0.405421686746988,0
0.0999999999999999,0.6219879518072289,1
-0.0833333333333333,-0.705012853470437,0
0.5,0.7993975903614458,1
-0.1999999999999999,-0.3692159383033419,0
0.0,0.026807228915662652,0
0.0,0.00030120481927710846,0
0.0,-0.682840616966581,0
0.0,0.7635542168674698,0
-0.0333333333333333,-0.6381748071979434,0
0.0,-0.12982005141388175,0
0.0,0.014759036144578313,0
0.0909090909090909,0.10361445783132531,1
0.0,0.24759036144578314,0
0.1666666666666666,0.7786144578313253,1
0.1333333333333333,0.7409638554216867,1
-0.5,-0.8052699228791773,0
0.5,0.8322289156626506,1
0.0833333333333333,0.2768072289156627,1
0.1166666666666665,0.7472891566265061,1
0.0,-0.5488431876606683,0
0.0,-0.2728149100257069,0
0.0833333333333333,0.702710843373494,1
0.0,-0.669987146529563,0
-0.0912037037037036,-0.8920308483290489,0
-0.2222222222222221,-0.8155526992287918,0
0.0,-0.3296915167095116,0
-0.0833333333333333,-0.7069408740359897,0
0.0,-0.08997429305912596,0
0.0,0.4990963855421687,0
0.0063131313131313,0.17409638554216866,1
-0.0873015873015873,-0.6680591259640103,0
0.0,-0.9466580976863753,0
0.0,-0.721401028277635,0
0.3333333333333333,0.9274096385542169,1
0.0,-0.6561696658097687,0
0.0,0.32680722891566266,0
0.3809523809523809,0.9442771084337349,1
0.2083333333333333,0.37078313253012046,1
-0.1666666666666667,-0.3194087403598972,0
0.1666666666666667,0.34126506024096387,1
0.0833333333333333,0.7484939759036144,1
0.0,-0.16934447300771205,0
0.0,0.43765060240963854,0
-0.0333333333333332,-0.7079048843187661,0
0.0,0.0,0
0.4338624338624338,0.9325301204819277,1
0.0,-0.2300771208226221,0
-0.1666666666666667,-0.7005141388174807,0
0.0,-0.02699228791773778,0
0.0,-0.008354755784061751,0
0.0,0.40210843373493976,0
-0.1666666666666667,-0.6969794344473008,0
0.55,0.855722891566265,1
0.0633333333333333,0.422289156626506,1
0.0,0.9117469879518072,0
-0.1666666666666667,-0.6208226221079691,0
-0.1666666666666667,0.6379518072289156,0
0.0,0.033734939759036145,0
0.0,-0.7233290488431876,0
0.0,0.045180722891566265,0
0.0,-0.16548843187660667,0
-0.1666666666666666,-0.9881105398457584,0
0.0,-0.19248071979434445,0
0.0,0.7105421686746988,0
0.0,-0.7808483290488432,0
0.0,-0.5877249357326478,0
0.1759259259259259,0.685843373493976,1
0.1111111111111111,0.558433734939759,1
0.0,0.19036144578313252,0
0.0,-0.1642030848329049,0
-0.0504973749654601,-0.9109897172236504,0
0.0,0.2177710843373494,0
0.1999999999999999,0.35963855421686747,1
0.0499999999999999,0.4780120481927711,1
0.0,-0.7390745501285347,0
0.0,-0.04498714652956293,0
0.0,-0.6176092544987146,0
-0.5,-0.7246143958868895,0
0.0,-0.5854755784061696,0
0.0,0.43343373493975906,0
-0.5,-0.6073264781491002,0
-0.0749999999999999,-0.7204370179948586,0
0.6,0.8924698795180723,1
0.0,-0.1876606683804627,0
0.8,0.3322289156626506,1
0.0489094810605107,0.7295180722891567,1
0.0,0.5656626506024096,0
-0.1549999999999999,-0.7525706940874036,0
0.0,-0.6555269922879177,0
0.0,0.36475903614457833,0
0.0,-0.27152956298200515,0
0.0,-0.8711439588688946,0
0.1666666666666666,-0.7551413881748072,1
0.0,0.23162650602409637,0
0.2833333333333333,0.8370481927710843,1
0.2916666666666667,0.8102409638554217,1
0.0,0.34186746987951805,0
0.0,-0.8158740359897172,0
0.0,-0.004177377892030876,0
0.5,0.5774096385542169,1
0.0,-0.36278920308483287,0
0.0,0.43765060240963854,0
0.1666666666666666,0.4680722891566265,1
0.25,0.4234939759036145,1
0.0,0.2283132530120482,0
0.1458333333333333,0.6762048192771084,1
0.125,0.6183734939759036,1
0.0,-0.6115038560411311,0
0.0,-0.9720437017994858,0
-0.037096583971584,-0.5176735218508998,0
0.0333333333333333,0.08765060240963855,1
0.0,-0.08836760925449871,0
0.6666666666666667,0.8704819277108434,1
0.0,0.3219879518072289,0
0.0,-0.07422879177377895,0
0.0,-0.4119537275064268,0
0.0,0.2283132530120482,0
0.4642857142857142,0.9138554216867469,1
-0.0666666666666667,0.7150602409638555,0
-0.375,-0.6625964010282777,0
-0.0277777777777776,-0.8537917737789203,0
0.0,0.006626506024096385,0
0.0,0.2433734939759036,0
0.0,0.20421686746987952,0
0.0,-0.5883676092544987,0
0.0,-0.3280848329048843,0
0.0,-0.5115681233933163,0
0.0,-0.7946658097686375,0
-0.2424242424242424,-0.8197300771208227,0
0.0,0.08433734939759036,0
0.0,-0.5228149100257069,0
0.0,-0.5070694087403599,0
0.0,-0.4775064267352185,0
0.0,-0.7461439588688946,0
0.1666666666666666,0.6572289156626506,1
0.0,-0.4534061696658098,0
0.0,0.02650602409638554,0
0.0,-0.04530848329048842,0
0.0,-0.4215938303341902,0
0.0333333333333333,-0.4797557840616966,1
0.4541666666666666,0.9237951807228916,1
0.0,-0.1642030848329049,0
0.0,-0.669987146529563,0
0.0,0.10301204819277109,0
0.0897435897435897,-0.6773778920308483,1
0.2,0.3349397590361446,1
-0.0666666666666667,-0.9366966580976863,0
0.0,-0.2660668380462725,0
0.0,-0.381426735218509,0
0.25,0.40572289156626506,1
0.1033333333333331,0.5406626506024096,1
0.125,0.691566265060241,1
0.0833333333333332,0.28674698795180725,1
0.0,0.3960843373493976,0
-0.1139608096511224,-0.5874035989717223,0
0.2042328042328042,0.5975903614457831,1
0.3333333333333333,0.8978915662650603,1
0.0,-0.004177377892030876,0
-0.0833333333333332,-0.6153598971722365,0
0.0286528286528285,0.3484939759036145,1
0.0,-0.5115681233933163,0
0.0,0.6602409638554216,0
0.0,-0.6674164524421593,0
-0.1666666666666667,-0.07101542416452444,0
-0.1666666666666667,-0.8216580976863753,0
0.0,-0.3643958868894601,0
0.0833333333333333,0.5807228915662651,1
0.0,-0.5089974293059125,0
-0.0277777777777776,-0.637210796915167,0
-0.1666666666666667,-0.1876606683804627,0
0.0,-0.4739717223650386,0
0.0,-0.8708226221079691,0
0.0,0.19156626506024096,0
0.0,-0.6654884318766067,0
0.0999999999999999,0.7743975903614457,1
0.0,-0.4209511568123393,0
0.1,0.7509036144578313,1
0.0,0.35632530120481926,0
0.0139354584809128,-0.5086760925449871,1
0.1666666666666667,0.3189759036144578,1
0.136111111111111,0.930421686746988,1
-0.6666666666666667,-0.7310411311053985,0
0.0317460317460317,0.44849397590361445,1
-0.5,-0.785025706940874,0
0.0,-0.07390745501285345,0
0.3333333333333333,0.7490963855421687,1
0.0,0.09096385542168675,0
0.0,0.5656626506024096,0
0.2222222222222222,0.827710843373494,1
0.3888888888888889,0.6457831325301204,1
0.0,0.3960843373493976,0
0.0,0.33313253012048194,0
0.0,-0.2271850899742931,0
0.0,0.491566265060241,0
-0.0833333333333333,-0.737146529562982,0
0.2211201079622131,0.8641566265060241,1
0.0,0.5135542168674698,0
0.4444444444444445,0.930421686746988,1
0.0,0.4530120481927711,0
0.0,-0.19537275064267356,0
0.0,0.8472891566265061,0
0.0333333333333333,0.7099397590361446,1
0.3333333333333333,0.5509036144578313,1
0.0,0.27981927710843374,0
0.0,0.04006024096385542,0
0.0,-0.23168380462724936,0
0.0,-0.4501928020565553,0
0.0,-0.05719794344473006,0
0.0,0.8162650602409639,0
0.0,0.327710843373494,0
0.0,0.525,0
0.332258064516129,0.6807228915662651,1
0.1944444444444443,-0.9701156812339332,1
0.0,0.12740963855421686,0
0.0416666666666666,0.8647590361445783,1
-0.1083333333333332,-0.4797557840616966,0
0.0,-0.39910025706940877,0
0.0,0.8057228915662651,0
0.3393719806763285,0.8081325301204819,1
0.2083333333333333,0.41445783132530123,1
0.0,0.5325301204819277,0
0.0833333333333333,0.39036144578313253,1
-0.0833333333333333,-0.018316195372750643,0
0.0,0.45602409638554214,0
-0.2203900709219858,-0.9508354755784062,0
0.0,0.1614457831325301,0
0.2222222222222222,0.8099397590361446,1
0.2333333333333334,0.7990963855421687,1
0.0,-0.4572622107969152,0
-0.1666666666666667,-0.5154241645244215,0
0.0,-0.05944730077120819,0
0.0,-0.6950514138817481,0
0.0,-0.21786632390745497,0
