estimator,base_model,stage,status,r2,mae,rmse,spearman_rho,description,gflops,params,inference_time_ms,seed,offloader_id,policy_id,precision_at_31,precision_at_155,precision_at_310,precision_at_621,ndcg,peak_map,peak_map_coco,peak_map_coco50,detector_time_ms,scenario,mean_ratio_error,max_ratio_error,ratio_compatible,cls_accuracy,cls_f1,cls_f1_macro,cls_auc_roc
weak_model,weak_model,pre,PASS,-0.03733420106978902,0.08961151474288276,0.19272013838240962,0.0,Always Edge (Never Offload) [fasterrcnn_mobilenet_v3_large_fpn],4.49,19.39,0.0,42,default,native_threshold,0.03225806451612903,0.0967741935483871,0.11290322580645161,0.19162640901771336,0.9634166733943093,0.7599458346862418,0.5403162489028,0.7846288409390335,24.69519809950725,,,,,,,,
strong_model,strong_model,pre,PASS,-25.92463842282073,0.9634387377131363,0.9818444516135982,0.0,Always Cloud (Always Offload) [fasterrcnn_resnet50_fpn_v2],280.37,43.71,0.0,42,default,native_threshold,0.03225806451612903,0.0967741935483871,0.11290322580645161,0.19162640901771336,0.9634166733943093,0.790762275881051,0.6053377810548273,0.8220915430133806,44.12352190025558,,,,,,,,
pre|mobilenet_v2|MORIC+-AP|online_ecdf_calibrated,mobilenet_v2,pre,PASS,0.12980258772648257,0.4471539246950897,0.5300367735450041,0.3501647257190216,"MobileNetV2-Lite (128x128, truncated)",0.153138,0.543,3.0966828763484955,42,online_ecdf_calibrated,online_ecdf_calibrated,0.03225806451612903,0.12903225806451613,0.19032258064516128,0.29790660225442833,0.950242845884231,0.8010759494583412,0.6070851504142406,0.830903367939754,,,0.01812488817319734,0.02962962962962956,False,,,,
pre|mobilenet_v2|OffloadBin|focal|online_ecdf_calibrated,mobilenet_v2,pre,PASS,-6267.234375,6.651614189147949,39.58592439436333,0.5565119000409919,"MobileNetV2-Lite (128x128, truncated)",0.153138,0.543,3.078848272562027,42,online_ecdf_calibrated,online_ecdf_calibrated,0.0,0.08387096774193549,0.16451612903225807,0.3462157809983897,0.9745760061004537,0.8075850535870316,0.6091412831997983,0.8376929658889857,,,0.008713544462336735,0.015458937198067652,False,,,,
post|dcsb|CountGain-05|fixed_classifier,dcsb,post,PASS,-0.01957062962559597,1.6627540157325027,2.79765987451546,0.35897619249400303,"DCSB original-paper rule (conf>0.078, count>3.000 or area<0.007)",0.0,0.0,0.05411311984062195,42,fixed_classifier,fixed_classifier,0.3225806451612903,0.34838709677419355,0.432258064516129,0.5120772946859904,0.9625635852584191,0.789011107890852,0.6037349439683839,0.8197215032784123,,,,,False,0.619645732689211,0.5692223633258524,0.561342102332396,0.7004893936293568
post|edgeml|MORIC-AP|wmse|native_threshold,edgeml,post,PASS,-0.3866397490122522,0.25616061956041086,0.3360486289975457,0.1384787443181505,"EdgeML proposal regressor (MLP + scaler + CV, threshold offloader)",0.0,0.0125,0.6402046978473663,42,native_threshold,native_threshold,0.06451612903225806,0.14193548387096774,0.2161290322580645,0.3607085346215781,0.9310900743047584,0.7933559449755789,0.6058210760249313,0.8242089168951113,,,0.2433530148505994,0.447181964573269,True,,,,
post|xgboost|MORIC-AP|online_ecdf_calibrated,xgboost,post,PASS,0.22903116777095445,0.20461739557705838,0.2505755636029124,0.47211843195471515,XGBoost (xgboost),,,0.2520638704299927,42,online_ecdf_calibrated,online_ecdf_calibrated,0.06451612903225806,0.1935483870967742,0.2967741935483871,0.44605475040257647,0.9624252018567767,0.8039918426671634,0.6070770725528678,0.8348950454254539,,,0.016013598139201998,0.042028985507246375,False,,,,
